"year","expected_count","downloaded_count","status"
1747,1,1,"Completed"
1749,1,1,"Completed"
1753,11,11,"Completed"
1788,1,1,"Completed"
1790,1,1,"Completed"
1792,1,1,"Completed"
1796,2,2,"Completed"
1798,2,2,"Completed"
1799,1,1,"Completed"
1800,4,4,"Completed"
1805,1,1,"Completed"
1807,2,2,"Completed"
1808,2,2,"Completed"
1809,1,1,"Completed"
1810,2,2,"Completed"
1811,2,2,"Completed"
1812,1,1,"Completed"
1815,2,2,"Completed"
1817,2,2,"Completed"
1821,3,3,"Completed"
1823,1,1,"Completed"
1824,7,7,"Completed"
1825,2,2,"Completed"
1826,4,4,"Completed"
1827,3,3,"Completed"
1828,1,1,"Completed"
1829,2,2,"Completed"
1830,5,5,"Completed"
1831,4,4,"Completed"
1832,5,5,"Completed"
1833,6,6,"Completed"
1834,2,2,"Completed"
1835,3,3,"Completed"
1836,4,4,"Completed"
1837,9,9,"Completed"
1838,4,4,"Completed"
1839,4,4,"Completed"
1840,4,4,"Completed"
1841,4,4,"Completed"
1842,3,3,"Completed"
1843,6,6,"Completed"
1844,5,5,"Completed"
1845,10,10,"Completed"
1846,4,4,"Completed"
1847,3,3,"Completed"
1848,6,6,"Completed"
1849,8,8,"Completed"
1850,6,6,"Completed"
1851,8,8,"Completed"
1852,2,2,"Completed"
1853,4,4,"Completed"
1854,5,5,"Completed"
1855,7,7,"Completed"
1856,9,9,"Completed"
1857,9,9,"Completed"
1858,11,11,"Completed"
1859,8,8,"Completed"
1860,10,10,"Completed"
1861,6,6,"Completed"
1862,8,8,"Completed"
1863,12,12,"Completed"
1864,9,9,"Completed"
1865,9,9,"Completed"
1866,12,12,"Completed"
1867,8,8,"Completed"
1868,9,9,"Completed"
1869,12,12,"Completed"
1870,14,14,"Completed"
1871,17,17,"Completed"
1872,19,19,"Completed"
1873,27,27,"Completed"
1874,22,22,"Completed"
1875,13,13,"Completed"
1876,11,11,"Completed"
1877,16,16,"Completed"
1878,16,16,"Completed"
1879,20,20,"Completed"
1880,13,13,"Completed"
1881,20,20,"Completed"
1882,22,22,"Completed"
1883,17,17,"Completed"
1884,25,25,"Completed"
1885,23,23,"Completed"
1886,23,23,"Completed"
1887,20,20,"Completed"
1888,16,16,"Completed"
1889,17,17,"Completed"
1890,19,19,"Completed"
1891,18,18,"Completed"
1892,14,14,"Completed"
1893,12,12,"Completed"
1894,20,20,"Completed"
1895,15,15,"Completed"
1896,12,12,"Completed"
1897,15,15,"Completed"
1898,22,22,"Completed"
1899,19,19,"Completed"
1900,41,41,"Completed"
1901,22,22,"Completed"
1902,23,23,"Completed"
1903,25,25,"Completed"
1904,24,24,"Completed"
1905,25,25,"Completed"
1906,22,22,"Completed"
1907,34,34,"Completed"
1908,21,21,"Completed"
1909,33,33,"Completed"
1910,40,40,"Completed"
1911,34,34,"Completed"
1912,49,49,"Completed"
1913,53,53,"Completed"
1914,40,40,"Completed"
1915,57,57,"Completed"
1916,51,51,"Completed"
1917,39,39,"Completed"
1918,31,31,"Completed"
1919,30,30,"Completed"
1920,57,57,"Completed"
1921,44,44,"Completed"
1922,69,69,"Completed"
1923,51,51,"Completed"
1924,60,60,"Completed"
1925,52,52,"Completed"
1926,72,72,"Completed"
1927,67,67,"Completed"
1928,68,68,"Completed"
1929,63,63,"Completed"
1930,87,87,"Completed"
1931,90,90,"Completed"
1932,118,118,"Completed"
1933,143,143,"Completed"
1934,121,121,"Completed"
1935,122,122,"Completed"
1936,150,150,"Completed"
1937,170,170,"Completed"
1938,161,161,"Completed"
1939,175,175,"Completed"
1940,173,173,"Completed"
1941,144,144,"Completed"
1942,163,163,"Completed"
1943,148,148,"Completed"
1944,140,140,"Completed"
1945,139,139,"Completed"
1946,152,152,"Completed"
1947,171,171,"Completed"
1948,197,197,"Completed"
1949,260,261,"Completed"
1950,327,327,"Completed"
1951,269,269,"Completed"
1952,282,282,"Completed"
1953,376,376,"Completed"
1954,384,384,"Completed"
1955,436,436,"Completed"
1956,479,481,"Completed"
1957,511,511,"Completed"
1958,581,582,"Completed"
1959,764,764,"Completed"
1960,795,796,"Completed"
1961,849,850,"Completed"
1962,963,963,"Completed"
1963,1132,1133,"Completed"
1964,1306,1309,"Completed"
1965,1468,1470,"Completed"
1966,1701,1706,"Completed"
1967,1887,1889,"Completed"
1968,2148,2153,"Completed"
1969,2387,2390,"Completed"
1970,3566,3566,"Completed"
1971,2953,2957,"Completed"
1972,3326,3331,"Completed"
1973,3646,3651,"Completed"
1974,4008,4013,"Completed"
1975,4739,4748,"Completed"
1976,5497,5499,"Completed"
1977,6133,6144,"Completed"
1978,6058,6059,"Completed"
1979,6498,6506,"Completed"
1980,7451,7461,"Completed"
1981,7731,7746,"Completed"
1982,8285,8295,"Completed"
1983,8865,8882,"Completed"
1984,9646,9659,"Completed"
1985,9951,9955,"Completed"
1986,10799,10818,"Completed"
1987,11359,11369,"Completed"
1988,11921,11937,"Completed"
1989,13264,13282,"Completed"
1990,14594,14599,"Completed"
1991,15428,15455,"Completed"
1992,16981,16989,"Completed"
1993,17781,17799,"Completed"
1994,19583,19600,"Completed"
1995,21706,4600,"Pending"
1996,24107,4600,"Pending"
1997,25677,NA,NA
1998,28226,NA,NA
1999,30968,NA,NA
2000,35787,NA,NA
2001,38288,NA,NA
2002,42319,NA,NA
2003,46759,NA,NA
2004,52706,NA,NA
2005,58115,NA,NA
2006,64239,NA,NA
2007,70663,NA,NA
2008,77649,NA,NA
2009,85389,NA,NA
2010,94625,NA,NA
2011,103400,NA,NA
2012,112946,NA,NA
2013,122677,NA,NA
2014,132556,NA,NA
2015,137081,NA,NA
2016,147666,NA,NA
2017,151722,NA,NA
2018,164810,NA,NA
2019,176752,NA,NA
2020,207910,NA,NA
2021,218367,NA,NA
2022,212804,NA,NA
2023,229774,NA,NA
2024,249266,NA,NA
2025,328599,NA,NA
2026,183324,NA,NA
2027,43,NA,NA
2028,10,NA,NA
2029,2,NA,NA
2030,6,NA,NA
2031,2,NA,NA
2034,2,NA,NA
2035,4,NA,NA
