"year","expected_count","downloaded_count","status"
1909,1,1,"Completed"
1910,1,1,"Completed"
1913,3,3,"Completed"
1914,1,1,"Completed"
1916,4,4,"Completed"
1917,1,1,"Completed"
1918,1,1,"Completed"
1921,2,2,"Completed"
1922,5,5,"Completed"
1923,3,3,"Completed"
1924,6,6,"Completed"
1925,1,1,"Completed"
1926,37,37,"Completed"
1927,36,36,"Completed"
1928,35,35,"Completed"
1929,39,39,"Completed"
1930,33,33,"Completed"
1931,24,24,"Completed"
1932,24,24,"Completed"
1933,29,29,"Completed"
1934,24,24,"Completed"
1935,36,36,"Completed"
1936,36,36,"Completed"
1937,38,38,"Completed"
1938,43,43,"Completed"
1939,56,56,"Completed"
1940,52,52,"Completed"
1941,60,60,"Completed"
1942,57,57,"Completed"
1943,59,59,"Completed"
1944,47,47,"Completed"
1945,57,57,"Completed"
1946,84,84,"Completed"
1947,81,81,"Completed"
1948,81,81,"Completed"
1949,78,78,"Completed"
1950,93,93,"Completed"
1951,90,90,"Completed"
1952,99,99,"Completed"
1953,126,126,"Completed"
1954,159,159,"Completed"
1955,142,142,"Completed"
1956,189,189,"Completed"
1957,236,236,"Completed"
1958,249,249,"Completed"
1959,250,250,"Completed"
1960,291,291,"Completed"
1961,458,458,"Completed"
1962,461,461,"Completed"
1963,503,503,"Completed"
1964,573,573,"Completed"
1965,706,706,"Completed"
1966,984,984,"Completed"
1967,1066,1066,"Completed"
1968,604,604,"Completed"
1969,168,168,"Completed"
1970,164,164,"Completed"
1971,149,149,"Completed"
1972,171,171,"Completed"
1973,195,195,"Completed"
1974,214,214,"Completed"
1975,368,368,"Completed"
1976,2462,2462,"Completed"
1977,3184,3184,"Completed"
1978,3395,3395,"Completed"
1979,3528,3528,"Completed"
1980,3904,3904,"Completed"
1981,4214,4214,"Completed"
1982,4565,4565,"Completed"
1983,4532,4532,"Completed"
1984,4982,4982,"Completed"
1985,5372,5372,"Completed"
1986,5974,5974,"Completed"
1987,6266,6266,"Completed"
1988,6370,6370,"Completed"
1989,6845,6845,"Completed"
1990,7893,7893,"Completed"
1991,12261,12261,"Completed"
1992,13635,13635,"Completed"
1993,14541,14541,"Completed"
1994,16320,16320,"Completed"
1995,18305,18305,"Completed"
1996,20381,20381,"Completed"
1997,21907,21907,"Completed"
1998,23596,23596,"Completed"
1999,24938,0,"Pending"
2000,26394,0,"Pending"
2001,28067,0,"Pending"
2002,29870,0,"Pending"
2003,32627,0,"Pending"
2004,35156,0,"Pending"
2005,38324,0,"Pending"
2006,42332,0,"Pending"
2007,47073,0,"Pending"
2008,51691,0,"Pending"
2009,55660,0,"Pending"
2010,60106,0,"Pending"
2011,66490,0,"Pending"
2012,72122,0,"Pending"
2013,77408,0,"Pending"
2014,81079,0,"Pending"
2015,87161,0,"Pending"
2016,92779,0,"Pending"
2017,97717,0,"Pending"
2018,105034,0,"Pending"
2019,117725,0,"Pending"
2020,135358,0,"Pending"
2021,173812,0,"Pending"
2022,179345,0,"Pending"
2023,172811,0,"Pending"
2024,183690,0,"Pending"
2025,209582,0,"Pending"
2026,106493,0,"Pending"
2027,24,0,"Pending"
