Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Changing levels of predation on benthos as a result of exploitation of fish populations,"Frid, CLJ; Hansson, S; Ragnarsson, SA; Rijnsdorp, A; Steingrimsson, SA","In many coastal areas fishing constitutes the dominant anthropogenic impact on coastal ecosystems. That fishing has altered the abundance and size spectra of fish communities is beyond doubt. We use time series of the abundance, in the North Sea, of 8 demersal fish species and data on food consumption rates to reconstruct a time series of benthic predation pressure. The changes in fish biomass that have occurred, primarily due to fishing pressure, have led to a change in the quantity and taxonomic composition of the benthos consumed by fish predators. Such alterations in the flow of material between ecosystem compartments are likely to cause further changes in ecosystem function as an indirect result of fishing.",1999,,AMBIO,28,7,578-582,WOS:000084357200002,,,#9,Frid 1999,"",""
Squid stock fluctuations and water temperature: temporal analysis of English Channel Loliginidae,"Robin, JP; Denis, V","1. Monthly series of abundance indexes for the English Channel squid stock, based on fishery statistics of the United Kingdom (1980-93) and France (1986-96), were compared with water temperature data. The two objectives of the study were to test empirical predictive models and to analyse the stock-environment relationship at various time scales; both correlation and time-series statistical techniques were applied. Sea surface temperature (SST) showed inter-annual fluctuations and month-to-month auto-correlation in addition to the annual cycle.2. Trends in squid landings and temperature at the annual scale were found to be related, whatever the statistical method used (moving averages, cumulative functions or regression using averaged data).3. Variable selection applied in a 'multi-month' model suggested that fishing season indexes could be predicted from temperatures observed in the previous winter. The link between mild winter conditions and cohort success in winter/spring spawning species suggested that early life survival (and/or growth) was involved. This empirical model is a first step in the development of environment-predicted recruitment indexes useful for management advice.4. Seasonal decomposition was performed on both the squid resource data and SST data in search of short-term relationships. In spite of the flexibility of the loliginid life-cycle, no significant relationship was found between squid seasonally adjusted indexes and temperature anomalies in the previous months. This underlined the conclusion that temperature effect on cohort success was not constant throughout the year.",1999,,JOURNAL OF APPLIED ECOLOGY,36,1,101-110,WOS:000080173800010,10.1046/j.1365-2664.1999.00384.x,,#11,Robin 1999,"",""
"Population dynamics of two marine polychaetes: the relative role of density dependence, predation, and winter conditions","van der Meer, J; Beukema, JJ; Dekker, R","We modelled the population dynamics of two polychaete species, a prey (Scoloplos armiger) and its predator (Nephtys hombergii) by simple linear and non-linear time-series models using a 29 year data series of population abundance and winter conditions. The log reproductive rate (i.e., the difference in log density between two succeeding years) of the prey population was density dependent and negatively related to the density of the predator. The log reproductive rate of the predator was also density dependent, but was to a greater extent determined by winter temperature, a density-independent factor. Log reproductive rate of the predator was not related to the density of the prey, nor could delayed density dependence be detected. Apparently, the feedback mechanism between predator and prey was weak, perhaps because the predator is a generalist. Predator density can therefore be categorized as a density-independent factor with respect to the dynamics of the prey species. In neither of the two species was density dependence strong enough to generate complex or chaotic behaviour, as indicated by the weakly negative slope of the reproduction curve at the equilibrium the apparent lack of a non-linear component in the reproduction curve, and the negative Lyapunov exponent. (C) 2000 International Council for the Exploration of the Sea.",2000,,ICES JOURNAL OF MARINE SCIENCE,57,5,1488-1494,WOS:000165979200024,10.1006/jmsc.2000.0912,,#18,vanderMeer 2000,"",""
"Influence of oceanic factors on Anguilla anguilla (L.) over the twentieth century in coastal habitats of the Skagerrak, southern Norway","Durif, CMF; Gjosæter, J; Vollestad, LA","The European eel (Anguilla anguilla L.) is distributed in coastal and inland habitats all over Europe, but spawns in the Sargasso Sea and is thus affected by both continental and oceanic factors. Since the 1980s a steady decline has been observed in the recruitment of glass eels to freshwater and in total eel landings. The eel is considered as critically endangered on the International Union for the Conservation of Nature and Natural Resources Red List of species. The Skagerrak beach seine survey from Norway constitutes the longest fishery-independent dataset on yellow/silver eels (starting in 1904). The Skagerrak coastal region receives larvae born in the Sargasso Sea spawning areas that have followed the Gulf Stream/North Atlantic Drift before they penetrate far into the North Sea. The Skagerrak coastal time series is therefore particularly valuable for exploring the impacts of oceanic factors on fluctuations in eel recruitment abundance. Analyses showed that Sargasso Sea surface temperature was negatively correlated with eel abundance, with a lag of 12 years revealing a cyclic and detrimental effect of high temperatures on the newly hatched larvae. The North Atlantic Oscillation index and inflow of North Atlantic water into the North Sea were negatively correlated with eel abundance, with a lag of 11 years. Increased currents towards the North Atlantic during high North Atlantic Oscillation years may send larvae into the subpolar gyre before they are ready to metamorphose and settle, resulting in low recruitment in the northern part of the distribution area for these years. The Skagerrak time series was compared with glass eel recruitment to freshwater in the Netherlands (Den Oever glass eel time series), and similar patterns were found revealing a cycle linked to changes in oceanic factors affecting glass eel recruitment. The recent decline of eels in the Skagerrak also coincided with previously documented shifts in environmental conditions of the North Sea ecosystem.",2011,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,278,1704,464-473,WOS:000285541800020,10.1098/rspb.2010.1547,,#19,Durif 2011,"",""
Zooplankton associations in a Mediterranean long-term time-series,"Mazzocchi, MG; Licandro, P; Dubroca, L; Di Capua, I; Saggiomo, V","Coastal zooplankton have been investigated since 1984 at a Long Term Ecological Research station MC (LTER-MC) in the inner Gulf of Naples (Tyrrhenian Sea, Western Mediterranean). The sampling site, located between the littoral and the open sea systems, has very active hydrography that affects plankton communities. The present work was aimed at establishing whether, in such a dynamic and variable environment, species associations and homogeneous periods could be identified as characteristic and stable features of the mesozooplankton over the period 1984-2006. Hierarchical clustering was applied to assess species associations based on a matrix of similarities between species (R-mode), and homogeneous periods based on a matrix of similarities between observations (Q-mode). The Indicator Value index [IndVal, Dufrene and Legendre (1997) Species assemblages and indicator species: the need for a flexible asymmetrical approach. Ecol. Monogr., 67, 345-366] was calculated to identify species characterizing each period. Five taxonomic groups with well-defined composition and abundance were identified as robust associations that likely reflect different modes of community functioning. The temporal course of these associations was largely shaped by strong seasonal forcing comprising both physical and biological (e.g. trophic) signals. These associations persisted over the long term, thus indicating some stable characters in the Naples zooplankton time-series, providing evidence of resilience in communities in highly variable coastal conditions.",2011,,JOURNAL OF PLANKTON RESEARCH,33,8,1163-1181,WOS:000292566100002,10.1093/plankt/fbr017,,#21,Mazzocchi 2011,"",""
"A comparison of condition factor and gonadosomatic index of sardine Sardinops sagax stocks in the northern and southern Benguela upwelling ecosystems, 1984-1999","Kreiner, A; Van Der Lingen, CD; Fréon, P","Time-series of condition factor (CF) and gonadosomatic index (GSI) were generated using general linear models (GLM) for sardine Sardinops sagax stocks in the northern and southern Benguela ecosystems over the period 1984-1999, During this period the biomass of sardine in the northern Benguela remained at relatively low levels of <500 000 tons, whereas that of southern Benguela sardine increased 40-fold to 1.3 million tons. The GLMs explained 27 and 45% of the observed variation in CF, and 32 and 28% of the observed variation in GSI, for sardine in the northern and southern Benguela subsystems respectively. Whereas the sardine CF in the northern Benguela remained stable over time, that for the southern Benguela stock declined steadily during the study period. Sardine CF showed a seasonal cycle in the southern but not in the northern Benguela. Time-series of GSI showed high interannual variability but no trends in either subsystem, and the seasonal pattern was similar for both stocks. The lack of coherence between the CF time-series for sardine in the two subsystems further suggests that sardine stocks in the northern and southern Benguela subsystems are independent.",2001,,SOUTH AFRICAN JOURNAL OF MARINE SCIENCE-SUID-AFRIKAANSE TYDSKRIF VIR SEEWETENSKAP,23,,123-134,WOS:000173642700011,,,#23,Kreiner 2001,"",""
Seasonal plankton dynamics along a cross-shelf gradient,"Stenseth, NC; Llope, M; Anadón, R; Ciannelli, L; Chan, KS; Hjermann, DO; Bagoien, E; Ottersen, G","Much interest has recently been devoted to reconstructing the dynamic structure of ecological systems on the basis of time-series data. Using 10 years of monthly data on phyto- and zooplankton abundance from the Bay of Biscay (coastal to shelf-break sites), we demonstrate that the interaction between these two plankton components is approximately linear, whereas the effects of environmental factors (nutrients, temperature, upwelling and photoperiod) on these two plankton population growth rates are nonlinear. With the inclusion of the environmental factors, the main observed seasonal and inter-annual dynamic patterns within the studied plankton assemblage also indicate the prevalence of bottom-up regulatory control.",2006,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,273,1603,2831-2838,WOS:000241858800005,10.1098/rspb.2006.3658,,#27,Stenseth 2006,"",""
Are perch (Perca fluviatilis L.) getting larger or smaller in Swedish lakes?,"Kerstin, H; Petersson, E","Space-for-time approaches are often used to indicate current or future changes over time. A European gillnet standard facilitates spatial-scale comparisons of fish communities in European lakes. Fish size was generally lower and densities higher in warmer lakes, but less is known about trends over decadal time scales. We analysed the size of European perch (Perca fluviatilis L.) in 2121 Swedish lakes sampled during 1996-2021. The aim was to test whether size changed over time, and whether trends were similar in southern and northern regions. We analysed mean length and occurrence or relative abundance of size classes from the smallest (<100 mm) to the largest individuals (>= 350 mm), and length at 1 and 5 years. The large data set was used to find general trends over time within regions, and within-lake trends were tested for 40 time-series lakes. The mean length of perch decreased in the southern and increased in the northern region. The proportion of the smallest perch increased in the southern, but not in the northern region. The most general trend was an increasing occurrence and proportion of the largest-sized perch in both regions in the large dataset. The average trends in the southern region of the large dataset also appeared as predominant trends within time-series lakes, although opposite trends occurred within some lakes in each region. This study also revealed that perch size at age 1 often increased within lakes over time, while more variable trends were found for size at age 5. The duration of the growth season has generally increased during the time frame of the present study, while other changes may differ between lakes in the same region. We recommend more studies based on time series of fish monitoring, including studies on possible reasons for the increased occurrence of very large perch in Swedish lakes.",2023,,ECOLOGY OF FRESHWATER FISH,32,4,735-749,WOS:000961664800001,10.1111/eff.12719,,#29,Kerstin 2023,"",""
"TIME-SERIES ANALYSIS OF NUMBERS OF LEPIDOPTERA CAUGHT AT LIGHT TRAPS IN EAST-AFRICA, AND THE EFFECT OF MOONLIGHT ON TRAP EFFICIENCY","TAYLOR, RAJ","A time series analysis of noctuid and sphingid moths caught at light traps in East Africa revealed the existence of sources of periodic variation in catch with three different wavelengths: lunar, annual and four-year. A comparison of catches of Spodoptera exempta (Walker) at different sites showed that site characteristics influence a light trap''s catch and confirmed the northward advance in flight period with season in the early part of the year. This species apparently goes through periods  of increased abundance every four years. Of eight other species examined, all but one showed signs of a four-year cycle in abundance, although the peaks occurred in different years. Catches of all nine species were reduced by moonlight, but not equally. The size of the insect influenced its susceptibility to interference by moonlight. This was apparently mediated by the height of flight. High and low flying moths were more strongly influenced by moonlight than those at intermediate heights.",1986,,BULLETIN OF ENTOMOLOGICAL RESEARCH,76,4,593-606,WOS:A1986F827300007,10.1017/S0007485300015108,,#30,TAYLOR 1986,"",""
Migration of Pacific Rim chum salmon on the high seas: insights from genetic data,"Seeb, LW; Crane, PA; Kondzela, CM; Wilmot, RL; Urawa, S; Varnavskaya, NV; Seeb, JE","Wild stocks of chum salmon, Oncorhynchus keta, have experienced recent declines in some areas of their range. Also, the release of hatchery chum salmon has escalated to nearly three billion fish annually. The decline of wild stocks and the unknown effects of hatchery fish combined with the uncertainty of future production caused by global climate change have renewed interest in the migratory patterns of chum salmon on the high seas. We studied the composition of high-seas mixtures of maturing and immature individuals using baseline data for 20 allozyme loci from 356 populations from throughout the Pacific Rim. Composition estimates were made from three time series. Two of these time series were from important coastal migratory corridors: the Shumagin Islands south of the Alaska Peninsula and the east coast of the Kamchatka Peninsula. The third was from chum salmon captured incidentally in the Bering Sea trawl fishery for walleye pollock. We also analyzed geographically dispersed collections of chum salmon captured in the month of July. The time series show dynamic changes in stock composition. The Shumagin Island corridor was used primarily by Northwest Alaskan and Asian populations in June; by the end of July stocks from the Alaska Peninsula and southern North America dominated the composition. The composition along the Kamchatka coast changed dramatically from primarily Russian stocks in May to primarily Japanese stocks in August; the previously undocumented presence of stocks from the Alaska Peninsula and Gulf of Alaska was also demonstrated. Immature chum salmon from throughout the Pacific Rim, including large proportions of southern North American stocks, contributed to the Bering Sea bycatch during the months of September and October. The migration routes of North American stocks is far more widespread than previously observed, and the Bering Sea is an important rearing area for maturing and immature chum salmon from throughout the species' range.",2004,,ENVIRONMENTAL BIOLOGY OF FISHES,69,1-4,21-36,WOS:000220671700003,10.1023/B:EBFI.0000022900.82523.63,,#43,Seeb 2004,"",""
"Community structure and biomass of larval euphausiids and postlarval mysids in relation to anomalous warming events during a weekly time series (2014-2017) at Cabo Pulmo National Park, Mexico","Ventura-Domínguez, PD; Gómez-Gutiérrez, J; De Silva-Dávila, R; González-Rodríguez, E; Sánchez-Uvera, AR; Silveyra-Bustamante, AA; Trasviña-Castro, A; Aburto-Oropeza, O; Sánchez, C","Euphausiids and mysids are important components of pelagic ecosystems due to their high abundance and tendency to form dense aggregations, swarms, and schools, which concentrate biomass that attracts visual predators. Species richness, abundance, and carbon biomass of euphausiids and mysids were investigated from a weekly daytime surface zooplankton time series from 2014 to 2017, in relation to 15 environmental variables at Cabo Pulmo National Park (CPNP, 23 degrees 27 ' N, 109 degrees 25 ' W), Mexico. A marine heatwave (MHW; January-August 2014) and El Nin similar to o 2015-2016 (May 2015-May 2016) caused anomalously warm temperatures in relation to the 2002-2018 temperature time series. We tested the hypotheses that CPNP is dominated by a tropical euphausiid and mysid species assemblage and that abundance of both taxonomic groups decreased during the MHW 2014 and El Nin similar to o 2015-2016. Euphausiids (7.9 ind. m-3) had a higher mean abundance than mysids (3.4 ind. m-3). Eight euphausiid species, mostly of tropical-oceanic affinity, were collected (98 % larvae). Nyctiphanes simplex decreased and Euphausia distinguenda and Stylocheiron carinatum increased in abundance during El Nin similar to o 2015-2016. Five mysid species were collected (juveniles and adults). Mysidium rickettsi alone accounted for 99.98 % of total mysid abundance. Although the euphausiids collected were mainly larval stages, due to sam-pling in shallow coastal waters during the day, they contributed more biomass than juvenile and adult M. rickettsi in the pelagic habitat, though the abundance of this mysid in its epibenthonic habitat was likely underestimated. A canonical correspondence analysis of euphausiid and mysid abundance as a function of 10 environmental variables explained 77.4 % of the total variability, showing greater seasonal (warm vs cold) than interannual changes. The best correlated environmental variables with euphausiid and M. rickettsi abundance were net primary production (-0.419), zooplankton biovolume (0.3177) and the MEI.v2 (-0.278). We concluded that the most evident changes in community structure and abundance were seasonal (e.g. N. simplex dominated during the cold season while E. distinguenda dominated during the warm season) rather than interannual. Moreover, the abundance and biomass of euphausiids decreased during the MHW 2014 and El Nin similar to o 2015-2016; paradoxically the highest abundance and biomass of E. distinguenda and the mysid M. rickettsi occurred during El Nin similar to o 2015-2016. This implies higher available biomass for benthonic and nektonic predators in this neritic tropical reef ecosystem, contrasting with decreased abundance of euphausiids observed along the west coast of the Baja California Peninsula during this period.",2022,,PROGRESS IN OCEANOGRAPHY,208,,,WOS:000871024300001,10.1016/j.pocean.2022.102881,,#44,Ventura-Domínguez 2022,"",""
11 YEARS OF TIME-SERIES ANALYSIS ON THE NET-ZOOPLANKTON COMMUNITY IN THE GULF-OF-TRIESTE,"CATALETTO, B; FEOLI, E; UMANI, SF; SUN, CY","Net-zooplankton data collected monthly at one coastal station of the Gulf of Trieste (Northern Adriatic Sea) from 1970 to 1980 were analysed in order to test the existence of any successional trend among the copepod community. No periodicity was evident for single species. However, a clear periodicity was found for two species groups obtained by cluster analysis. One group was characterized by Acartia clausi and Temora longicornis and showed a regular appearance in late spring-summer. The other group was characterized by Temora stylifera and Oncaea sp. and showed a regular appearance in autumn-winter. Time-series analysis of the diversity of the copepod community showed a clear IZ-month periodicity with winter maxima corresponding to the highest level of stability. However, a decreasing trend of the copepod biomass appears to have originated in the mid-1970s. The biomass decrease was probably caused by Noctiluca miliaris and Pelagia noctiluca blooms. (C) 1995 International Council for the Exploration of the Sea.",1995,,ICES JOURNAL OF MARINE SCIENCE,52,3-4,669-678,WOS:A1995TE36800040,10.1016/1054-3139(95)80080-8,,#47,CATALETTO 1995,"",""
