Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"An application of two techniques for the analysis of short, multivariate non-stationary time-series of Mauritanian trawl survey data","Erzini, K; Inejih, CAO; Stobberup, KA","Min/max autocorrelation factor analysis (MAFA) and dynamic factor analysis (DFA) are complementary techniques for analysing short (> 15-25 y), non-stationary, multivariate data sets. We illustrate the two techniques using catch rate (cpue) time-series (1982-2001) for 17 species caught during trawl surveys off Mauritania, with the NAO index, an upwelling index, sea surface temperature, and an index of fishing effort as explanatory variables. Both techniques gave coherent results, the most important common trend being a decrease in cpue during the latter half of the time-series, and the next important being an increase during the first half. A DFA model with SST and UPW as explanatory variables and two common trends gave good fits to most of the cpue time-series. (c) 2004 International Council for the Exploration of the Sea. Published by Elsevier Ltd. All rights reserved.",2005,,ICES JOURNAL OF MARINE SCIENCE,62,3,353-359,WOS:000228705900008,10.1016/j.icesjms.2004.12.009,,#2,Erzini 2005,"",""
Density dependence in voles and mice: A comparative study,"Saitoh, T; Bjornstad, ON; Stenseth, NC","The presence of direct and delayed density dependence in populations of three sympatric rodent species (Clethrionomys rufocanus, Apodemus speciosus, and A. argenteus) in Hokkaido, Japan, was evaluated using triannual census data (spring, summer, and fall) spanning 30 years (1963-1992) on 79 populations for each species. The average abundance and population variability (the s-index) generally increased from spring to fall in C. rufocanus but were typically highest in summer for the Apodemus populations. Based on a comprehensive and comparative review of the population and community biology of the species we made four explicit predictions about the pattern of density dependence: (1) the three species were expected to exhibit socially induced direct density dependence, but 12) this was expected to be weaker in the Apodemus species than C. rufocanus; (3) delayed density dependence caused by predation was only expected in C. rufocanus; thus (4) time series of C. rufocanus were expected to reflect a second-order dynamic process, and those of the Apodemus species were expected to reflect a first-order process. Dennis and Taper's method based on the Gompertz model was used to test for direct and delayed density dependence and thereby to test the predictions. Direct density dependence was detected in most series (81.0-97.5%) for all three seasons and for all three species. A significant proportion of the time series of C. rufocanus (11.8-18.5%) exhibited negative delayed density dependence, whereas detection rates in the two Apodemus species did not differ from that expected by chance alone. Autoregressive analyses corroborated this: a second-order process was commonly found to be the appropriate model for the time series of C, rufocanus, whereas a first-order process was preferred for most time series of the Apodemus species. The high incidence of direct density dependence in all three species and the contrasting results on delayed density dependence between C. rufocanus and the Apodemus species are discussed with reference to social and trophic interactions. Territoriality, delayed maturation, and reduced pregnancy rates are probable causes for the high incidence of direct density dependence in all species. The more unpredictable variability in Apodemus food resource is argued to have a potential to disrupt social regulation and thus to lower the incidence of direct density dependence. A candidate mechanism for the incidence of delayed density dependence is differential vulnerability to predation: the demography of C. rufocanus is much more affected by predators than Apodemus.",1999,,ECOLOGY,80,2,638-650,WOS:000079036500026,10.1890/0012-9658(1999)080[0638:DDIVAM]2.0.CO;2,,#4,Saitoh 1999,"",""
Detecting and forecasting complex nonlinear dynamics in spatially structured catch-per-unit-effort time series for North Pacific albacore (Thunnus alalunga),"Glaser, SM; Ye, H; Maunder, M; MacCall, A; Fogarty, M; Sugihara, G","The presence of complex, nonlinear dynamics in fish populations, and uncertainty in the structure (functional form) of those dynamics, pose challenges to the accuracy of forecasts produced by traditional stock assessment models. We describe two nonlinear forecasting models that test for the hallmarks of complex behavior, avoid problems of structural uncertainty, and produce good forecasts of catch-per-unit-effort (CPUE) time series in both standardized and nominal (unprocessed) form. We analyze a spatially extensive, 40-year-long data set of annual CPUE time series of North Pacific albacore (Thunnus alalunga) from 1 degrees x 1 degrees cells from the eastern North Pacific Ocean. The use of spatially structured data in compositing techniques improves out-of-sample forecasts of CPUE and overcomes difficulties commonly encountered when using short, incomplete time series. These CPUE series display low-dimensional, nonlinear structure and significant predictability. Such characteristics have important implications for industry efficiency in terms of future planning and can inform formal stock assessments used for the management of fisheries.",2011,,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,68,3,400-412,WOS:000287978500003,10.1139/F10-160,,#7,Glaser 2011,"",""
Effects of marine heat waves and cold spells on a polar shallow water ecosystem,"Fischer, P; Brix, H; Bussmann, I; Ködel, U; Schwanitz, M; Schütze, C; Anselm, N; Brand, M; Jenniges, Y; Kasten, S; Kraberg, A; Lienkämper, M; Spotowitz, L; Weber, U; Wiltshire, K; Dietrich, P","Global warming affects the Earth system in complex ways, often preventing a functional understanding of the underlying processes. Disentangling these processes between abiotic drivers and single species or entire communities is, however, essential for an in-depth understanding of the impacts of climate change on the ecosystem. Using a high-resolution time series on heat waves and cold spells in an Arctic fjord system, we demonstrate that AI-supported digital data processing, which is based on state-of-the-art observatory technology, has the potential to provide new insights into the effects of abiotic factors on biotic communities, which would not be possible with traditional expedition-based sampling methods. Furthermore, our study shows that short-term, event-driven anomalies in key ocean variables not only alter a system's hydrography but also have the potential to impact the entire community across the trophic chain from benthos and zooplankton to fish. We found a significant positive correlation between hydrographic temperature anomalies and biota abundance, with high biota abundances linked to 'Atlantic' phases with frequent heat waves and low biota abundances correlated with 'Arctic' phases dominated by cold spells. The study also revealed that hydrographic anomalies can not only influence overall biota abundance in an area but also trigger complex shifts in species composition. This leads to fluctuating interannual abundance peaks in specific biotic groups, such as jellyfish, fish, or chaetognaths, depending on trigger factors that are not yet fully understood.",2025,,SCIENTIFIC REPORTS,15,1,,WOS:001512788100025,10.1038/s41598-025-05621-w,,#10,Fischer 2025,"",""
Extinction debt in lake fish due to river-lake disconnection,"Yuan, Y; Xia, ZJ; Li, MZ; Chang, T; Shang, KY; He, DK; Lin, PC; Gao, X","After habitat loss and fragmentation, some species may persist for some period, but eventually become extinct, resulting in the so-called extinction debt. Understanding extinction debt can help depict biodiversity change processes and prevent underestimating biodiversity loss in conservation practices. River-lake disconnection has reduced fish diversity in lakes within the middle and lower Yangtze River basin, and may cause extinction debt as well after river-lake disconnection, which has not been noticed so far. This study collected fish species occurrence data from the 1950s to 2020, along with data on lake area and disconnection time. Taxonomic (TD), functional (FD), and phylogenetic (PD) diversity indices were calculated and analyzed to test the hypothesis using three methods: time series analysis, equilibrium methods, and past habitat analysis. The results showed that extinction debt was detected in TD across all methods, whereas FD did not exhibit extinction debt and PD demonstrated the presence of extinction debt by time series analysis. Furthermore, the decline in TD correlated with both lake area and disconnection time, while PD decline was associated with disconnection time. These results revealed extinction debt in the taxonomic and phylogenetic diversity of fish due to river-lake disconnection, but not in functional traits. Our findings provided empirical evidence of extinction debt and emphasize the importance of considering long-term species loss when assessing the cumulative impacts of habitat loss and fragmentation.",2024,,ECOLOGICAL INDICATORS,169,,,WOS:001372468100001,10.1016/j.ecolind.2024.112912,,#12,Yuan 2024,"",""
A long-term ichthyoplankton monitoring program suggests climate-induced environmental variabilities changed fish communities in the Hudson River estuary,"Chang, HY; McKown, K; Chen, Y","Climate change is known to have significant impacts on coastal marine ecosystems. However, a good understanding of the exact impacts requires consistent long-term monitoring programs, which are not available for many coastal marine ecosystems. The Hudson River Estuary (HRE) provides critical habitats for many estuarine, freshwater, and diadromous species. The Longitudinal River Ichthyoplankton Survey and Water Quality Survey in the Hudson River Biological Monitoring Program provided a long-term time series (1974-2017) for examining the changes in salinity and other environmental variables and identifying the temporal variability of fish diversity. In this study, we examined the environmental data and found a 2-phase pattern in the salinity time series data with a change point of 1984. We calculated a Margalef index and a Simpson index to examine species richness and evenness for early and older life stages in the upper and lower HRE, and explored the potential effects of rising sea level and salinity on fish biodiversity. This study reveals that sea level and salinity may play an important part in explaining increased species richness and evenness. The increased occurrence, establishment and range expansion of marine species as well as possible displacement of freshwater species may be associated with sea level-induced salinity change observed in the HRE. This study highlights a need for a long-term consistent monitoring program and a better understanding of climate change effects on the biota in coastal estuary ecosystems such as the HRE in order to enhance management, conservation, and restoration plans.",2023,,FRONTIERS IN MARINE SCIENCE,9,,,WOS:000916139300001,10.3389/fmars.2022.1077997,,#14,Chang 2023,"",""
Identifying resilience mechanisms to recurrent ecosystem perturbations,"Angeler, DG; Trigal, C; Drakare, S; Johnson, RK; Goedkoop, W","The complex nature of ecological systems limits the unambiguous determination of mechanisms that drive resilience to natural disturbance or anthropogenic stress. Using eight-year time series data from boreal lakes with and without bloom formation of an invasive alga (Gonyostomum semen, Raphidophyceae), we studied resilience of phytoplankton communities in relation to recurring bloom impacts. We first characterized phytoplankton community dynamics in both lake types using univariate metrics of community structure (evenness, species richness, biovolume and Simpson diversity). All metrics, except species richness, were substantially altered and showed an inherent stronger variability in bloom lakes relative to reference lakes. We assessed resilience mechanisms using a multivariate time series modelling technique. The models captured clear successional dynamics of the phytoplankton communities in all lakes, whereby different groups of species were substituted sequentially over the ice-free period. The models also identified that G. semen impacts in bloom lakes were only manifested within a single species group, not across species groups, highlighting the rapid renewal of the phytoplankton communities upon bloom collapse. These results provide empirical support of the cross-scale resilience model. Cross-scale resilience could provide an explanation for the paradox that similar species richnesses are seen in bloom-forming lakes and reference lakes despite the clear difference between the community features of the two different sets of lakes investigated.",2010,,OECOLOGIA,164,1,231-241,WOS:000280962200022,10.1007/s00442-010-1640-2,,#16,Angeler 2010,"",""
Abundance trends of two neon flying squid (Ommastrephes bartramii) stocks in the North Pacific,"Chen, CS","Two stocks of neon flying squid (Ommastrephes bartramii) have been identified in the North Pacific, with differing life- history traits and geographic distributions, one in the Northeast Pacific and the other in the Northwest Pacific, each with seasonal cohorts. Both stocks are targeted by commercial fishing fleets from China, Japan, and Taiwan. The variability in abundance for each stock has been studied independently, but a comparable analysis between the two stocks is lacking. The abundance trends for the two stocks were examined using catch data from the Taiwanese squid fishery between 1986 and 2006. A time- series of monthly catch per unit effort and three explanatory variables, sea surface temperature in the presumed hatching grounds, the Southern Oscillation Index, and the number of vessels, were analysed using dynamic factor analysis to quantify squid abundance. The optimal model contained one common trend and all three explanatory variables. The Northwest Pacific and Northeast Pacific stocks exhibited opposing trends in abundance, and the results suggest that large- scale environmental factors, rather than regional factors, are more critical in influencing the abundance of oceanic squid species.",2010,,ICES JOURNAL OF MARINE SCIENCE,67,7,1336-1345,WOS:000281719300004,10.1093/icesjms/fsq063,,#20,Chen 2010,"",""
Spatiotemporal patterns in the ecological community of the nearshore Mid-Atlantic Bight,"Gartland, J; Gaichas, SK; Latour, RJ","Recognition of the need for a more holistic, ecosystem approach to the assessment and management of living marine resources has renewed interest in quantitative community ecology and fueled efforts to develop ecosystem metrics to gain insight into system status. This investigation utilized 12 years (2008 to 2019) of fisheries-independent bottom trawl survey data to quantify and synthesize the spatiotemporal patterns of species assemblages inhabiting the nearshore Mid-Atlantic Bight (MAB). Assemblages were delineated by ecomorphotype (EMT), and all species collected by the survey were allocated among 9 EMTs: demersal fishes; pelagic fishes; flatfishes; skates; rays; dogfishes; other sharks; cephalopods; and benthic arthropods. Annual time series and seasonal spatial distributions of relative aggregate biomass were quantified for each EMT using delta-generalized additive models. Dynamic factor analysis (DFA) revealed that the information content of the 9 annual time series was effectively summarized by 3 common trends, and DFA model fits to each EMT time series represented a new suite of ecosystem indicators for this system. Mean sea surface temperature during winter in the MAB was included in the selected DFA model, suggesting that winter environmental conditions influence the structure of this system at an annual scale. Principal component analysis uncovered a north-to-south gradient in the seasonal spatial distributions of these EMTs and identified a distinct area of elevated biomass for several assemblages along the south shore of Long Island, NY. Taken together, these results characterize the community structure of the nearshore MAB and yield requisite information to support ongoing ecosystem-scale assessment and management activities for this region.",2023,,MARINE ECOLOGY PROGRESS SERIES,704,,15-33,WOS:000946774700002,10.3354/meps14235,,#22,Gartland 2023,"",""
Macrozoobenthic community structure in a high-arctic East Greenland fjord,"Sejr, MK; Jensen, KT; Rysgaard, S","A macrozoobenthic community study was conducted in an East Greenlandic fjord (Young Sound, 74 degrees 18'N; 20 degrees 15'W) during the ice-free period from July to August in 1996. Grab samples as well as underwater photography were used for quantifying the macrozoobenthos at water depths between 20 and 85 m. Abundance decreased with depth from 2700 ind.(.)m(-2) at 20 m to 900 ind.(.)m(-2) at 85 m. At a time series station at 35 m, abundance increased from 700 ind.(.)m(-2) in mid-July to 1400 ind.(.)m(-2) in mid-August. Poly chaetes dominated in grab samples but bivalves constituted an important part of the benthic fauna, especially at the shallow part of the depth gradient. Photographs revealed high abundances of large epifaunal species, especially brittle stars. Diversity was generally high, with around 45 species per 201 individuals, as calculated by Hurlbert's rarefaction term. A gradual change in community structure with depth was observed, which could be related to variation in sediment composition and disturbance intensity.",2000,,POLAR BIOLOGY,23,11,792-801,WOS:000089927900008,10.1007/s003000000154,,#25,Sejr 2000,"",""
