Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Building hazard maps of extreme daily rainy events from PDF ensemble, via REA method, on Senegal River Basin","Osorio, JDG; Galiano, SGG","The Sudano-Sahelian zone of West Africa, one of the poorest of the Earth, is characterized by high rainfall variability and rapid population growth. In this region, heavy storm events frequently cause extensive damage. Nonetheless, the projections for change in extreme rainfall values have shown a great divergence between Regional Climate Models (RCM), increasing the forecast uncertainty. Novel methodologies should be applied, taking into account both the variability provided by different RCMs, as well as the non-stationary nature of time series for the building of hazard maps of extreme rainfall events. The present work focuses on the probability density functions (PDFs)-based evaluation and a simple quantitative measure of how well each RCM considered can capture the observed annual maximum daily rainfall (AMDR) series on the Senegal River basin. Since meaningful trends have been detected in historical rainfall time series for the region, non-stationary probabilistic models were used to fit the PDF parameters to the AMDR time series. In the development of PDF ensemble by boot-strapping techniques, Reliability Ensemble Averaging (REA) maps were applied to score the RCMs. The REA factors were computed using a metric to evaluate the agreement between observed -or best estimated- PDFs, and that simulated with each RCM. The assessment of plausible regional trends associated to the return period, from the hazard maps of AMDR, showed a general rise, owing to an increase in the mean and the variability of extreme precipitation. These spatial-temporal distributions could be considered by Organization for the Development of the Senegal River (Organisation pour la mise en valeur du fleuve Senegal, OMVS), in such a way as to reach a better balance between mitigation and adaptation.",2011,,HYDROLOGY AND EARTH SYSTEM SCIENCES,15,11,3605-3615,WOS:000298135500022,10.5194/hess-15-3605-2011,,#1,Osorio 2011,"",""
Exploring long-term variability of Nephrops norvegicus landing per unit effort (LPUE) off North Galicia (NW Spain),"Herraiz, IG; Fariña, AC; Freire, J; de la Torre, JRC","Landings of Nephrops norvegicus from North Galicia (Northwest Spain) have decreased by 80% from 1975 to 2001. Variability in the landings per unit effort (LPUE) of this stock was investigated by using time series approach. The LPUE time series (1975-2001) exhibited a seasonal pattern. The seasonal decomposition of the LPUE showed a declining in the trend-cycle component from 1987 onwards.Univariate and dynamic regression ARMA models were fitted to the LPUE time series. Population (proportion of males, proportion of ovigerous females and recruits) and environmental variables (temperature, salinity, nitrates and chlorophyll at 70 m depth, upwelling and sea surface temperature) were tested at different lags as explanatory variables. The proportion of males 4 years ago was the key factor explaining LPUE fluctuations. (C) 2015 Elsevier B.V. All rights reserved.",2015,,FISHERIES RESEARCH,165,,121-126,WOS:000352748800015,10.1016/j.fishres.2014.12.020,,#3,Herraiz 2015,"",""
Decadal (2010-2019) variability in the marine ecosystems of the North Atlantic,"González-Pola, C; Mills, KE; Beszczynska-Möller, A; Bresnan, E; Birchenough, SNR","The ""Symposium on Decadal Variability of the North Atlantic and its Marine Ecosystems: 2010-2019"" took place in Bergen, Norway, from 20 to 22 May 2022. This event, hosted by the Institute of Marine Research, was jointly sponsored by ICES and NAFO and constitutes the fourth in a series of these symposia that started in 1991. The first symposium's aim was to review the hydrobiological variability in the decade of the 1980s, addressing the physical environment, plankton, invertebrates, and fish. Subsequent symposia maintained the classical structure, whilst a new theme session covering social sciences was added to the programme in the 2022 edition. Studies of climate impacts on marine ecosystems and living marine resources, including trends and regime shifts, emerged from increasingly longer ecosystem time series across the North Atlantic and subarctic regions. This symposium collection presents key findings discussed during the symposium. Whilst some progress has been made in advancing our ability to understand new trends and patterns of climate change and variability across physical, plankton, and fish communities, more work is needed to integrate these physical-ecological processes and scales with social science.",2024,,ICES JOURNAL OF MARINE SCIENCE,81,3,505-511,WOS:001180713200001,10.1093/icesjms/fsae029,,#5,González-Pola 2024,"",""
Climate-induced shifts in cod spawning phenology across the North Atlantic,"Pollet-Calderini, C; Kirby, R; Castant, J; Leroy, M; Robert, D; Beaugrand, G","Spawning underpins fish stock regeneration. Here, we investigate climate effects on spawning phenology in Atlantic cod (Gadus morhua), a severely exploited species whose stocks are now also affected by climate change. For the first time, we model daily cod egg occurrences as a spawning proxy across the North Atlantic. With a concordance of 84% between our model and basin-scale observations, our results predict different climate change outcomes for western (eastern Newfoundland) and eastern (North Sea) stocks. In eastern Newfoundland where cod is at the centre of its thermal niche, a phenological shift in spawning was observed. In the warmer North Sea, such a phenological adjustment did not occur, leading to a substantial reduction in spawning. Our model explains fluctuations in the North Sea cod stock better than those in the Eastern Newfoundland stock, where unaccounted anthropogenic (overfishing) and environmental (trophodynamics) factors may have influenced cod abundance over the considered time series. Our results provide an improved understanding of how future climate change and other drivers interact in driving stock dynamics.",2026,,SCIENTIFIC REPORTS,16,1,,WOS:001754857400015,10.1038/s41598-026-44116-0,,#6,Pollet-Calderini 2026,"",""
Assessing post-harvest forest recovery using Landsat time series in temperate planted and natural forests,"Shimizu, K; Saito, H; Nishizono, T; Yamada, Y","Monitoring forest recovery has important implications for effective forest management. Although Landsat time series data has the potential to characterize forest recovery, the applicability for monitoring recovery conditions in both planted and natural forests across regions remains unexplored. In this study, we evaluated post-harvest spectral and structural recovery metrics derived from Landsat time series using airborne LiDAR data in different regions of temperate planted and natural forests in Japan. We used the Normalized Burn Ratio (NBR) from Landsat time series data to calculate Years to Recovery (Y2R) metrics as indicators of spectral recovery and to identify forest conditions that meet the thresholds of 5 m canopy height and 30 % canopy cover. To assess structural recovery, machine learning models using extreme gradient boosting (XGBoost) regression were developed to predict canopy height and time-series growth in coniferous planted forests. The spectral recovery assessment demonstrated that Y2R threshold based on 100 % (Y2R100%) can be used as an indicator of forest recovery across regions and post-harvest forest types (i.e., coniferous/broadleaved) across Japan. The tree height predicted by the XGBoost models had R2 and RMSE of 0.69-0.82 and 2.07-2.58 m, respectively. The predicted tree height growth showed statistical equivalence with the dominant height from the middle site index in the yield tables for the main planted species at ages 15-20 years. The rate of forest recovery from the Y2R100% and growth prediction from XGBoost models highlighted areas of replantation failure or locations that had not recovered in natural forests. This study shows the potential combination of spectral and structural recovery for monitoring post-harvest forest recovery.",2025,,ECOLOGICAL INDICATORS,180,,,WOS:001606641600003,10.1016/j.ecolind.2025.114320,,#8,Shimizu 2025,"",""
"Canopy-forming kelp forests persist in the dynamic subregion of the Broughton Archipelago, British Columbia, Canada","Man, L; Barbosa, RV; Reshitnyk, LY; Gendall, L; Wachmann, A; Dedeluk, N; Kim, U; Neufeld, CJ; Costa, M","Canopy-forming kelp forests act as foundation species that provide a wide range of ecosystem services along temperate coastlines. With climate change, these ecosystems are experiencing changing environmental and biotic conditions; however, the kelp distribution and drivers of change in British Columbia remain largely unexplored. This research aimed to use satellite imagery and environmental data to investigate the spatiotemporal persistence and resilience of kelp forests in a dynamic subregion of cool ocean temperatures and high kelp abundance in the Broughton Archipelago, British Columbia. The specific objectives were to identify: 1) long-term (1984 to 2023) and short-term (2016 to 2023) kelp responses to environmental changes; and 2) spatial patterns of kelp persistence. The long-term time series was divided into three climate periods: 1984 to 1998, 1999 to 2014, and 2014 to 2023. The first transition between these periods represented a shift into cooler regional sea-surface temperatures and a negative Pacific Decadal Oscillation in 1999. The second transition represented a change into warmer temperatures (with more marine heatwaves and El Ni & ntilde;o conditions) after 2014. In the long-term time series (1984 to 2023), which covered a site with Macrocystis pyrifera beds, kelp area increased slightly after the start of the second climate period in 1999. For the short-term time series (2016 to 2023), which focused on eight sites with Nereocystis luetkeana beds, most sites either did not change significantly or expanded in kelp area. This suggests that kelp areas remained persistent across these periods despite showing interannual variability. Thus, the dynamic subregion of the Broughton Archipelago may be a climate refuge for kelps, likely due to cool water temperatures that remain below both species' upper thermal limits. Spatially, on a bed level, both species were more persistent in the center of the kelp beds, but across the subregion, Macrocystis had more persistent areas than Nereocystis, suggesting life history and/or other factors may be impacting these kelp beds differently. These findings demonstrate the spatiotemporal persistence of kelp forests in the dynamic subregion of the Broughton Archipelago, informing the management of kelp forest ecosystems by First Nations and local communities.",2025,,FRONTIERS IN MARINE SCIENCE,12,,,WOS:001457590400001,10.3389/fmars.2025.1537498,,#9,Man 2025,"",""
"Genetic effective size, Ne, tracks density in a small freshwater cyprinid, Pecos bluntnose shiner (Notropis simus pecosensis)","Osborne, MJ; Davenport, SR; Hoagstrom, CW; Turner, TF","Genetic monitoring tracks changes in measures of diversity including allelic richness, heterozygosity and genetic effective size over time, and has emerged as an important tool for understanding evolutionary consequences of population management. One proposed application of genetic monitoring has been to estimate abundance and its trajectory through time. Here, genetic monitoring was conducted across five consecutive year for the Pecos bluntnose shiner, a federally threatened minnow. Temporal changes in allele frequencies at seven microsatellite DNA loci were used to estimate variance effective size (N-eV) across adjacent years in the time series. Likewise, effective size was computed using the linkage disequilibrium method (N-eD) for each sample. Estimates of N-e were then compared to estimates of adult fish density obtained from traditional demographic monitoring. For Pecos bluntnose shiner, density (catch-per-unit-effort), N-eV and N-eD were positively associated across this time series. Results for Pecos bluntnose shiner were compared to a related and ecologically similar species, the Rio Grande silvery minnow. In this species, density and N-eV were negatively associated, which suggested decoupling of abundance and effective size trajectories. Conversely, density and N-eD were positively associated. For Rio Grande silvery minnow, discrepancies among estimates of N-e and their relationships with adult fish density could be related to effects of high variance in reproductive success in the wild and/or effects of supplementation of the wild population with captive-bred and reared fish. The efficacy of N-e as a predictor of density and abundance may depend on intrinsic population dynamics of the species and how these dynamics are influenced by the landscape features, management protocols and other factors.",2010,,MOLECULAR ECOLOGY,19,14,2832-2844,WOS:000279751000002,10.1111/j.1365-294X.2010.04695.x,,#11,Osborne 2010,"",""
Insights into the prediction and driving factors of perfluorinated and polyfluoroalkyl substances in sediments from Taihu Lake of China using machine learning models,"Xiao, H; Liu, K; Deng, LG; Yang, WR; Sun, LJ; Yi, A; Zhang, YH; Qian, X; Liu, T; Li, HM","The spatiotemporal changes and environmental driving factors governing the distribution of perfluorinated and polyfluoroalkyl substances (PFAS) in the sediment cores of shallow lakes remain inadequately understood. This study investigated the occurrence and predicted future trends of PFAS in sediment cores from a shallow lake in China, and revealed the key influencing factors using time-series prediction and interpretable machine learning (IML) models. A decreasing trend of PFAS with depth in the three representative areas was found, with long-chain PFAS, such as perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS), predominating. The RQ of the top (0-4 cm) sediment cores indicated that they were in at a moderate ecological risk. Time-series forecasts using the Attention-CL model predicted increasing PFOA and PFOS concentrations from 2023 to 2034, suggesting potential consequences of delays in effective policy implementation. Feature importance and Shapley analyses revealed the importance of pH, total organic carbon (TOC), and oxidation-reduction potential (ORP) for PFAS. Partial dependence plots and individual conditional expectation showed the threshold effect of pH on PFOA and perfluoroundecanoic acid (PFUdA) to be 6.5, the threshold effect of ORP to be 200 mV, and the threshold effect of electrical conductivity to be 300 mu S/cm. The threshold effect of TOC on PFOA was 3.0 mg/g, whereas that on PFUdA was 3.5 mg/g. In general, the IML model highlights the importance of environmental parameters, such as pH, ORP, and TOC, in shaping PFAS distribution. These findings elucidate the complex interactions between sediment characteristics and PFAS distribution, informing targeted monitoring and remediation efforts in a broader environmental science field.",2025,,ENVIRONMENTAL POLLUTION,386,,,WOS:001606048100004,10.1016/j.envpol.2025.127294,,#13,Xiao 2025,"",""
Beyond Correlation in the Detection of Climate Change Impacts: Testing a Mechanistic Hypothesis for Climatic Influence on Sockeye Salmon (Oncorhynchus nerka) Productivity,"Tillotson, MD; Quinn, TP","Detecting the biological impacts of climate change is a current focus of ecological research and has important applications in conservation and resource management. Owing to a lack of suitable control systems, measuring correlations between time series of biological attributes and hypothesized environmental covariates is a common method for detecting such impacts. These correlative approaches are particularly common in studies of exploited fish species because rich biological time-series data are often available. However, the utility of species-environment relationships for identifying or predicting biological responses to climate change has been questioned because strong correlations often deteriorate as new data are collected. Specifically stating and critically evaluating the mechanistic relationship (s) linking an environmental driver to a biological response may help to address this problem. Using nearly 60 years of data on sockeye salmon from the Kvichak River, Alaska we tested a mechanistic hypothesis linking water temperatures experienced during freshwater rearing to population productivity by modeling a series of intermediate, deterministic relationships and evaluating temporal trends in biological and environmental time-series. We found that warming waters during freshwater rearing have profoundly altered patterns of growth and life history in this population complex yet there has been no significant correlation between water temperature and metrics of productivity commonly used in fisheries management. These findings demonstrate that pairing correlative approaches with careful consideration of the mechanistic links between populations and their environments can help to both avoid spurious correlations and identify biologically important, but not statistically significant relationships, and ultimately producing more robust conclusions about the biological impacts of climate change.",2016,,PLOS ONE,11,4,,WOS:000375211700073,10.1371/journal.pone.0154356,,#15,Tillotson 2016,"",""
Climatic Drivers of the Complex Phenology of the Mediterranean Semi-Deciduous Shrub Phlomis fruticosa Based on Satellite-Derived EVI,"Kyparissis, A; Levizou, E","A 21-year Enhanced Vegetation Index (EVI) time-series produced from MODIS satellite images was used to study the complex phenological cycle of the drought semi-deciduous shrub Phlomis fruticosa and additionally to identify and compare phenological events between two Mediterranean sites with different microclimates. In the more xeric Araxos site, spring leaf fall starts earlier, autumn revival occurs later, and the dry period is longer, compared with the more favorable Louros site. Accordingly, the control of climatic factors on phenological events was examined and found that the Araxos site is mostly influenced by rain related events while Louros site by both rain and temperature. Spring phenological events showed significant shifts at a rate of 1-4.9 days per year in Araxos, which were positively related to trends for decreasing spring precipitation and increasing summer temperature. Furthermore, the climatic control on the inter-annual EVI fluctuation was examined through multiple linear regression and machine learning approaches. For both sites, temperature during the previous 2-3 months and rain days of the previous 3 months were identified as the main drivers of the EVI profile. Our results emphasize the importance of focusing on a single species and small-spatial-scale information in connecting vegetation responses to the climate crisis.",2022,,PLANTS-BASEL,11,5,,WOS:000768219400001,10.3390/plants11050584,,#17,Kyparissis 2022,"",""
